Nama,Singkatan,Jenis,Status,Kabupaten,Provinsi,Akreditasi,Jumlah Prodi,Persentase Kelulusan,Rentang Biaya / Semester
Politeknik Negeri Bengkalis,Polbeng,Negeri,Aktif,Kab. Bengkalis,Prov. Riau,Baik Sekali,27,53.92 %,Rp500.000 - 3.000.000
Universitas Papua,Unipa,Negeri,Aktif,Kab. Manokwari,Prov. Papua Barat,Baik Sekali,67,,
Institut Seni Budaya Indonesia Bandung,ISBI Bandung,Negeri,Aktif,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,18,49.40 %,Rp500.000 - 7.500.000
Politeknik Manufaktur Negeri Bangka Belitung,PMNBB,Negeri,Aktif,Kab. Bangka,Prov. Bangka Belitung,Terakreditasi,17,64.27 %,Rp500.000 - 6.000.000
Politeknik Perikanan Negeri Tual,PPNT,Negeri,Aktif,Kab. Maluku Tenggara,Prov. Maluku,Baik Sekali,10,35.80 %,
Universitas Brawijaya,UB / Unibraw,Negeri,Aktif,Kota Malang,Prov. Jawa Timur,Unggul,221,,Rp1 - 73.500.000
Politeknik Negeri Ketapang,PNK,Negeri,Aktif,Kab. Ketapang,Prov. Kalimantan Barat,Baik,16,41.34 %,Rp500.000 - 4.000.000
Universitas Negeri Medan,Unimed,Negeri,Aktif,Kota Medan,Prov. Sumatera Utara,A,114,,Rp250.000 - 70.000.000
Universitas Sebelas Maret,UNS,Negeri,Aktif,Kota Surakarta,Prov. Jawa Tengah,Unggul,255,,Rp300.000 - 30.150.000
Akademi Komunitas Negeri Seni dan Budaya Yogyakarta,Akom Negeri Seni dan Budaya,Negeri,Aktif,Kota Yogyakarta,Prov. D.I. Yogyakarta,Tidak Terakreditasi,3,43.44 %,
Institut Seni Budaya Indonesia Tanah Papua,ISBITP,Negeri,Aktif,Kab. Jayapura,Prov. Papua,Baik,5,13.24 %,Rp650.000 - 850.000
Universitas Sam Ratulangi,Unsrat,Negeri,Aktif,Kota Manado,Prov. Sulawesi Utara,Unggul,100,,Rp1 - 58.750.000
Institut Teknologi Bacharuddin Jusuf Habibie,ITBJH,Negeri,Aktif,Kota Pare-Pare,Prov. Sulawesi Selatan,Baik,19,,Rp500.000 - 3.000.000
Politeknik Negeri Bandung,Polban,Negeri,Aktif,Kota Bandung,Prov. Jawa Barat,Unggul,46,,Rp250.000 - 15.750.000
Universitas Andalas,Unand,Negeri,Aktif,Kota Padang,Prov. Sumatera Barat,Unggul,207,,Rp200.000 - 45.000.000
Universitas Sultan Ageng Tirtayasa,Untirta,Negeri,Aktif,Kab. Serang,Prov. Banten,Unggul,97,,Rp75.000 - 22.000.000
Universitas Padjadjaran,Unpad,Negeri,Aktif,Kab. Sumedang,Prov. Jawa Barat,Unggul,262,,Rp250.000 - 26.000.000
Universitas Pendidikan Indonesia,UPI,Negeri,Aktif,Kota Bandung,Prov. Jawa Barat,Unggul,224,,Rp1 - 47.100.000
Universitas Sulawesi Barat,Unsulbar,Negeri,Aktif,Kab. Majene,Prov. Sulawesi Barat,Terakreditasi,46,34.57 %,Rp1.500.000 - 1.500.000
